DATELASTUPDATED,DEFINITION,AsrNbrhd,REFERENCEURL,Neighborhood,VOCABULARYID
24:28.4,,51,,Academy,1
24:28.4,,74,,Baden,1
24:28.4,,86,,Bellefontaine/Calvary Cemeteries,1
24:28.4,,22,,Benton Park,1
24:28.4,,30,,Benton Park West,1
24:28.3,,5,,Bevo Mill,1
36:13.3,,28,,Botanical Heights,1
24:28.3,,4,,Boulevard Heights,1
24:28.3,,1,,Carondelet,1
24:28.4,,80,,Carondelet Park,1
24:28.4,,61,,Carr Square,1
24:28.4,,38,,Central West End,1
24:28.4,,41,,Cheltenham,1
02:48.0,Coverage for things that are not one or more specific neighborhoods,0,,City-Wide,1
41:26.4,,42,,Clayton Tamm,1
24:28.3,,11,,Clifton Heights,1
24:28.4,,66,,College Hill,1
24:28.4,,62,,Columbus Square,1
24:28.4,,26,,Compton Heights,1
24:28.4,,77,,Covenant Blu-Grand Center,1
24:28.4,,47,,DeBaliviere Place,1
24:28.4,,35,,Downtown,1
24:28.4,,36,,Downtown West,1
24:28.3,,16,,Dutchtown,1
24:28.3,,10,,Ellendale,1
36:41.4,,67,,Fairground,1
24:28.4,,83,,Fairground Park,1
24:28.4,,82,,Forest Park,1
39:57.8,,39,,Forest Park Southeast,1
24:28.4,,53,,Fountain Park,1
24:28.4,,24,,Fox Park,1
24:28.4,,43,,Franz Park,1
24:28.3,,19,,Gravois Park,1
24:28.4,,78,,Hamilton Heights,1
24:28.4,,44,,Hi-Pointe,1
24:28.3,,3,,Holly Hills,1
24:28.4,,65,,Hyde Park,1
37:34.1,,59,,JeffVanderLou,1
24:28.4,,40,,Kings Oak,1
24:28.4,,55,,Kingsway East,1
24:28.4,,52,,Kingsway West,1
24:28.4,,20,,Kosciusko,1
24:28.4,,32,,Lafayette Square,1
24:28.4,,34,,LaSalle Park,1
24:28.4,,54,,Lewis Place,1
24:28.3,,9,,Lindenwood Park,1
24:28.3,,18,,Marine Villa,1
24:28.4,,71,,Mark Twain,1
24:28.4,,70,,Mark Twain I-70 Industrial,1
24:28.4,,23,,McKinley Heights,1
24:28.4,,37,,Midtown,1
24:28.4,,87,,Missouri Botanical Garden,1
24:28.3,,17,,Mount Pleasant,1
24:28.4,,64,,Near North Riverfront,1
24:28.3,,14,,North Hampton,1
24:28.4,,73,,North Pointe,1
24:28.4,,79,,North Riverfront,1
24:28.4,,68,,O'Fallon,1
24:28.4,,85,,O'Fallon Park,1
24:28.4,,63,,Old North St. Louis,1
24:28.5,,98,,Outside of City,1
24:28.3,,2,,Patch,1
24:28.4,,33,,Peabody Darst Webbe,1
24:28.4,,69,,Penrose,1
24:28.4,,84,,Penrose Park,1
24:28.3,,6,,Princeton Heights,1
24:28.4,,75,,Riverview,1
24:28.4,,27,,Shaw,1
24:28.4,,46,,Skinker DeBaliviere,1
24:28.4,,21,,Soulard,1
24:28.3,,7,,Southampton,1
24:28.3,,13,,Southwest Garden,1
24:28.3,,8,,St. Louis Hills,1
24:28.4,,60,,St. Louis Place,1
24:28.4,,31,,The Gate District,1
38:32.6,,56,,The Greater Ville,1
24:28.3,,12,,The Hill,1
24:28.4,,57,,The Ville,1
24:28.4,,29,,Tiffany,1
24:28.4,,25,,Tower Grove East,1
24:28.4,,81,,Tower Grove Park,1
24:28.3,,15,,Tower Grove South,1
24:28.5,,99,,Unknown,1
24:28.5,,90,,Unknown City,1
24:28.4,,58,,Vandeventer,1
24:28.4,,49,,Visitation Park,1
24:28.4,,72,,Walnut Park East,1
24:28.4,,76,,Walnut Park West,1
24:28.4,,50,,Wells Goodfellow,1
24:28.4,,48,,West End,1
24:28.5,,88,,Willmore Park,1
24:28.4,,45,,Wydown Skinker,1
